epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.926,1.32663,52.7241,0.94625,1e-05,0.06303,0.00013,9e-05,1.70382,84.3183,1.26668,0.000369078,0.000369078,0.000369078
2,286.166,1.81726,29.0029,1.32262,8e-05,0.08739,7e-05,3e-05,1.93733,219.891,1.80393,0.000724771,0.000724771,0.000724771
3,416.831,2.13081,11.989,1.56931,0,0,0,0,2.1778,14.5348,1.49849,0.0010658,0.0010658,0.0010658
4,545.101,2.10612,6.12693,1.55069,0.04,0.01176,0.02268,0.00576,2.47323,7.52983,1.76967,0.00104501,0.00104501,0.00104501
5,675.335,2.00617,4.88308,1.50631,0.00299,0.07059,0.00446,0.00223,2.01817,5.0902,1.5474,0.00102301,0.00102301,0.00102301
6,803.15,1.97909,4.56018,1.49316,0.0087,0.04706,0.00762,0.00252,1.85579,4.83861,1.42716,0.00100101,0.00100101,0.00100101
7,931.529,1.89589,4.32398,1.39634,0.00262,0.09412,0.00757,0.00237,1.91676,4.46891,1.46907,0.000979013,0.000979013,0.000979013
8,1059.64,1.76049,3.98509,1.30627,0.00569,0.09328,0.01296,0.00477,1.9353,4.52288,1.4905,0.000957015,0.000957015,0.000957015
9,1191.46,1.78467,4.01365,1.35433,0.00163,0.20672,0.00983,0.00261,1.86563,4.11639,1.37159,0.000935018,0.000935018,0.000935018
10,1320.68,1.78895,3.93924,1.34183,0.00494,0.15798,0.01744,0.00565,1.84606,3.83444,1.37435,0.00091302,0.00091302,0.00091302
11,1453.22,1.70889,3.79653,1.33568,0.00363,0.2958,0.02496,0.00772,1.72999,3.84897,1.31627,0.000891022,0.000891022,0.000891022
12,1581.77,1.7291,3.75486,1.32523,0.00549,0.26975,0.03184,0.0128,1.69075,3.62022,1.33532,0.000869024,0.000869024,0.000869024
13,1708.23,1.57048,3.46558,1.22264,0.01078,0.1916,0.0227,0.00826,1.66884,3.59149,1.32615,0.000847026,0.000847026,0.000847026
14,1835.43,1.65692,3.62874,1.32917,0.0164,0.20924,0.05454,0.02101,1.65252,3.46023,1.28983,0.000825029,0.000825029,0.000825029
15,1961.98,1.6238,3.53511,1.25321,0.01271,0.20336,0.03415,0.01385,1.69698,3.45667,1.32795,0.000803031,0.000803031,0.000803031
16,2089.57,1.54893,3.55224,1.29488,0.00956,0.33193,0.03135,0.01455,1.61072,3.4706,1.35397,0.000781033,0.000781033,0.000781033
17,2216.87,1.49959,3.29797,1.19802,0.70574,0.0565,0.06982,0.03276,1.73441,3.37839,1.25222,0.000759035,0.000759035,0.000759035
18,2343.83,1.47787,3.1586,1.1678,0.71163,0.08151,0.09909,0.04609,1.55118,3.12262,1.2705,0.000737037,0.000737037,0.000737037
19,2470.17,1.55425,3.59573,1.26694,0.01249,0.42969,0.07707,0.0396,1.55121,3.28956,1.18674,0.00071504,0.00071504,0.00071504
20,2595.75,1.41543,3.12079,1.17241,0.78881,0.10084,0.14309,0.07211,1.49906,2.97852,1.17577,0.000693042,0.000693042,0.000693042
21,2721.93,1.49624,3.23899,1.10768,0.02161,0.36555,0.08693,0.04613,1.51467,3.23488,1.20295,0.000671044,0.000671044,0.000671044
22,2848.28,1.49416,3.21221,1.21722,0.01205,0.43305,0.10757,0.04893,1.61556,3.02743,1.25121,0.000649046,0.000649046,0.000649046
23,2974.07,1.38722,3.00556,1.11596,0.62896,0.02941,0.04917,0.02455,1.45427,3.08711,1.16436,0.000627048,0.000627048,0.000627048
24,3102.93,1.44244,3.04921,1.15327,0.67826,0.18992,0.1148,0.04863,1.51307,3.44612,1.22215,0.000605051,0.000605051,0.000605051
25,3233.18,1.44261,2.96284,1.12106,0.71311,0.11008,0.10649,0.05091,1.51618,3.22203,1.19413,0.000583053,0.000583053,0.000583053
26,3359.89,1.39614,3.11988,1.13324,0.72692,0.12799,0.14294,0.08303,1.46912,2.7906,1.17372,0.000561055,0.000561055,0.000561055
27,3486.99,1.36738,2.9745,1.06937,0.6944,0.10336,0.136,0.07267,1.45269,2.80681,1.18953,0.000539057,0.000539057,0.000539057
28,3615.21,1.53455,3.12643,1.24818,0.59975,0.14286,0.16475,0.09983,1.48586,2.77954,1.17269,0.000517059,0.000517059,0.000517059
29,3743.15,1.27806,2.92642,1.0494,0.61735,0.04706,0.06524,0.03311,1.47756,3.10996,1.17057,0.000495062,0.000495062,0.000495062
30,3871.62,1.36446,2.91223,1.09642,0.66082,0.16639,0.14827,0.07701,1.49758,2.70103,1.18133,0.000473064,0.000473064,0.000473064
31,3998.98,1.3144,2.72,1.0716,0.59968,0.18403,0.16089,0.06739,1.43216,2.64779,1.10991,0.000451066,0.000451066,0.000451066
32,4126.71,1.27006,2.61995,1.00901,0.58543,0.11513,0.14515,0.07307,1.45116,2.77925,1.15304,0.000429068,0.000429068,0.000429068
33,4254.47,1.29107,2.68982,1.05004,0.58324,0.17227,0.14771,0.07009,1.44555,2.63687,1.16399,0.00040707,0.00040707,0.00040707
34,4382.41,1.38015,2.82578,1.1343,0.73922,0.18992,0.21793,0.10835,1.40653,2.58946,1.12821,0.000385073,0.000385073,0.000385073
35,4513.95,1.2423,2.61146,1.03171,0.52463,0.22353,0.18578,0.09733,1.49325,2.83538,1.17677,0.000363075,0.000363075,0.000363075
36,4652.06,1.36897,2.74562,1.0928,0.57829,0.21008,0.15916,0.08772,1.48942,2.81449,1.15405,0.000341077,0.000341077,0.000341077
37,4780.91,1.37208,2.67361,1.13291,0.66684,0.17794,0.16716,0.08683,1.46182,2.86471,1.15094,0.000319079,0.000319079,0.000319079
38,4910.36,1.28633,2.58659,1.03968,0.64289,0.19496,0.18397,0.09211,1.46431,2.72522,1.15979,0.000297081,0.000297081,0.000297081
39,5039.19,1.3044,2.56298,1.09921,0.53761,0.13529,0.1609,0.08635,1.35282,2.68302,1.10441,0.000275084,0.000275084,0.000275084
40,5170.34,1.22464,2.5258,1.0072,0.64923,0.2437,0.25987,0.11874,1.39182,2.74699,1.11481,0.000253086,0.000253086,0.000253086
41,5296.11,1.04089,2.1155,0.89001,0.57664,0.18067,0.24286,0.11317,1.44948,2.52707,1.17089,0.000231088,0.000231088,0.000231088
42,5422.71,1.04634,2.05015,0.88902,0.73092,0.19326,0.20824,0.11255,1.43068,2.62414,1.12606,0.00020909,0.00020909,0.00020909
43,5546.88,0.98532,1.91009,0.85167,0.65324,0.21176,0.21118,0.11821,1.36255,2.5459,1.07782,0.000187092,0.000187092,0.000187092
44,5673.01,0.96345,1.96379,0.83936,0.73946,0.2365,0.28222,0.14828,1.38449,2.5655,1.10512,0.000165095,0.000165095,0.000165095
45,5799.77,0.96927,1.85445,0.81171,0.65094,0.20336,0.27206,0.12371,1.38677,2.62228,1.11039,0.000143097,0.000143097,0.000143097
46,5927.13,0.94502,1.84035,0.82273,0.56092,0.26387,0.27156,0.12449,1.39991,2.6318,1.09506,0.000121099,0.000121099,0.000121099
47,6053.51,0.93976,1.83436,0.82094,0.68615,0.20206,0.22736,0.12227,1.42246,2.56663,1.12197,9.91012e-05,9.91012e-05,9.91012e-05
48,6177.3,0.90051,1.69336,0.7711,0.5455,0.3423,0.23853,0.09852,1.40663,2.61995,1.08442,7.71034e-05,7.71034e-05,7.71034e-05
49,6301.81,0.84999,1.70863,0.76683,0.53802,0.33641,0.26877,0.11231,1.4101,2.62155,1.09704,5.51056e-05,5.51056e-05,5.51056e-05
50,6428.46,0.90961,1.73995,0.80212,0.55755,0.27563,0.259,0.11176,1.41162,2.60058,1.09627,3.31078e-05,3.31078e-05,3.31078e-05
