epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.4,1.49267,78.1647,1.21893,1e-05,0.06471,0.00811,0.00325,2.19518,82.7605,1.64021,0.000367831,0.000367831,0.000367831
2,470.467,2.26537,43.6723,1.79833,0.00017,0.09412,0.00032,0.00012,2.56159,49.0433,2.10418,0.000713805,0.000713805,0.000713805
3,671.304,2.5014,18.1471,2.01286,0,0,0,0,2.84715,16.8749,2.34283,0.00103534,0.00103534,0.00103534
4,867.49,2.49955,9.12379,1.99237,0,0,0,0,2.80871,9.73283,2.51046,0.00100101,0.00100101,0.00100101
5,1064.66,2.50238,6.6924,1.96778,0.00139,0.07059,0.0025,0.0007,2.71662,6.96293,2.19528,0.000964348,0.000964348,0.000964348
6,1262.72,2.31259,5.94937,1.87606,0.01818,0.01176,0.01263,0.00784,2.48584,6.83157,2.09321,0.000927685,0.000927685,0.000927685
7,1460.08,2.45166,5.62575,1.97113,0.00645,0.01176,0.00363,0.00111,2.63253,6.79115,2.1113,0.000891022,0.000891022,0.000891022
8,1657.8,2.29931,5.30807,1.92809,0.00276,0.16807,0.00926,0.0044,2.41877,6.18894,1.95348,0.000854359,0.000854359,0.000854359
9,1853.67,2.29592,5.15494,1.86018,0.01258,0.12437,0.02437,0.01082,2.13517,5.36099,1.7212,0.000817696,0.000817696,0.000817696
10,2051.39,2.31109,5.29864,1.95416,0.01808,0.15462,0.01842,0.0081,2.03333,5.24893,1.74207,0.000781033,0.000781033,0.000781033
11,2250.1,1.96797,4.84612,1.6221,0.00341,0.30084,0.02199,0.00928,2.14806,4.79426,1.76838,0.00074437,0.00074437,0.00074437
12,2449.47,2.02106,4.89233,1.66271,0.0152,0.20336,0.03227,0.0156,2.13544,4.81791,1.75092,0.000707707,0.000707707,0.000707707
13,2650.53,2.09018,4.8046,1.78071,0.00597,0.3,0.0728,0.04085,2.08391,4.81685,1.77651,0.000671044,0.000671044,0.000671044
14,2846.72,1.99753,4.73512,1.69543,0.00713,0.33025,0.07261,0.02569,1.93598,4.30297,1.68231,0.000634381,0.000634381,0.000634381
15,3042.35,1.9036,4.40647,1.63033,0.09019,0.17647,0.10774,0.05286,1.90765,4.86237,1.66211,0.000597718,0.000597718,0.000597718
16,3237.54,1.91378,4.56819,1.64405,0.04178,0.15966,0.06639,0.03507,1.97277,4.68878,1.66093,0.000561055,0.000561055,0.000561055
17,3438,1.84599,4.30924,1.57307,0.84306,0.06942,0.04892,0.02072,1.96163,4.13204,1.61548,0.000524392,0.000524392,0.000524392
18,3635.51,1.79077,4.14866,1.5379,0.72328,0.10276,0.06396,0.03123,1.88716,4.09495,1.56243,0.000487729,0.000487729,0.000487729
19,3834.55,1.74714,4.2435,1.54554,0.6694,0.1126,0.06416,0.03156,1.97342,4.03499,1.61236,0.000451066,0.000451066,0.000451066
20,4035.62,1.81653,4.1284,1.61765,0.71283,0.08655,0.09995,0.04805,1.93575,3.7424,1.54588,0.000414403,0.000414403,0.000414403
21,4230.82,1.54405,3.51977,1.38225,0.68392,0.16218,0.1273,0.05742,1.80953,3.84113,1.50153,0.00037774,0.00037774,0.00037774
22,4421.22,1.5457,3.63939,1.39276,0.69899,0.08005,0.10356,0.05688,1.86998,3.71392,1.5508,0.000341077,0.000341077,0.000341077
23,4612.99,1.49997,3.41086,1.36891,0.70846,0.11849,0.10241,0.05777,1.86287,3.54161,1.50419,0.000304414,0.000304414,0.000304414
24,4804.48,1.56374,3.43322,1.437,0.77326,0.06677,0.10286,0.05722,1.80554,3.76325,1.50873,0.000267751,0.000267751,0.000267751
25,4999.58,1.50636,3.50064,1.36659,0.71565,0.11849,0.12495,0.06763,1.75968,3.44774,1.47652,0.000231088,0.000231088,0.000231088
26,5189.83,1.38865,3.18713,1.26218,0.67883,0.12101,0.11846,0.05849,1.80834,3.48404,1.47567,0.000194425,0.000194425,0.000194425
27,5381.56,1.44571,3.17247,1.30212,0.67944,0.08655,0.13666,0.08094,1.76561,3.43813,1.48386,0.000157762,0.000157762,0.000157762
28,5573.16,1.37076,2.95654,1.25165,0.57798,0.18877,0.11804,0.06415,1.77919,3.30613,1.47101,0.000121099,0.000121099,0.000121099
29,5766.17,1.41315,3.14844,1.32424,0.52875,0.20333,0.12424,0.06922,1.7835,3.32177,1.47314,8.4436e-05,8.4436e-05,8.4436e-05
30,5958.22,1.3654,3.02402,1.24741,0.58832,0.19892,0.12628,0.07144,1.78073,3.34821,1.47941,4.7773e-05,4.7773e-05,4.7773e-05
